code,identity,observedA,observedB,cat_A,cat_B,A_climate_concern,A_gay_adoption,A_migration_enriches_culture,A_govt_reduce_inequ,B_climate_concern,B_gay_adoption,B_migration_enriches_culture,B_govt_reduce_inequ,ed_climate_concern,ed_gay_adoption,ed_migration_enriches_culture,ed_govt_reduce_inequ,posAx,posAy,posBx,posBy,euclideanDistance,perceivedDistance
652hnk9k,Grüne,GreenVoter,P1,voter,P,1,1,2.0,2,3,3,3.0,5,2,2,1.0,3,349.5,200.60000610351562,286.5,369.6000061035156,4.242640687119285,180.36074961032958
652hnk9k,Grüne,GreenVoter,P2,voter,P,1,1,2.0,2,3,5,3.0,5,2,4,1.0,3,349.5,200.60000610351562,170.5,441.6000061035156,5.477225575051661,300.2032644725903
652hnk9k,Grüne,GreenVoter,P3,voter,P,1,1,2.0,2,1,1,1.0,1,0,0,1.0,1,349.5,200.60000610351562,395.5,168.60000610351562,1.4142135623730951,56.0357029044876
652hnk9k,Grüne,GreenVoter,P4,voter,P,1,1,2.0,2,3,3,5.0,3,2,2,3.0,1,349.5,200.60000610351562,109.5,225.60000610351562,4.242640687119285,241.29857024027308
652hnk9k,Grüne,AfDVoter,P1,voter,P,4,4,5.0,3,3,3,3.0,5,1,1,2.0,2,20.5,332.6000061035156,286.5,369.6000061035156,3.1622776601683795,268.5609800399157
652hnk9k,Grüne,AfDVoter,P2,voter,P,4,4,5.0,3,3,5,3.0,5,1,1,2.0,2,20.5,332.6000061035156,170.5,441.6000061035156,3.1622776601683795,185.42114226808118
652hnk9k,Grüne,AfDVoter,P3,voter,P,4,4,5.0,3,1,1,1.0,1,3,3,4.0,2,20.5,332.6000061035156,395.5,168.60000610351562,6.164414002968976,409.2932933728575
652hnk9k,Grüne,AfDVoter,P4,voter,P,4,4,5.0,3,3,3,5.0,3,1,1,0.0,0,20.5,332.6000061035156,109.5,225.60000610351562,1.4142135623730951,139.17614738165446
652hnk9k,Grüne,P1,P2,P,P,3,3,3.0,5,3,5,3.0,5,0,2,0.0,0,286.5,369.6000061035156,170.5,441.6000061035156,2.0,136.5283853270081
652hnk9k,Grüne,P1,P3,P,P,3,3,3.0,5,1,1,1.0,1,2,2,2.0,4,286.5,369.6000061035156,395.5,168.60000610351562,5.291502622129181,228.65257488163127
